symbol,lastClose,marketCap,companyName,exchange,c,o,vwap
GSBC,60.24,690827526.0262945,GREAT SOUTHERN BANCORP INC,NASDAQ,60.24,61.38,60.24
GUT.PRC,22.6,524090000.00000006,GABELLI UTILITY TRUST - GUT 5 3/8 PERP,NYSE,22.6,22.7429,22.6
SSLLF,50.5,1337400055.0,SILTRONIC AG,OTC,50.5,50.5,50.5
PATH,12.35,6607729826.722264,UIPATH INC - CLASS A,NYSE,12.35,12.785,12.35
BTT,21.95,1419350000.0,BLACKROCK 2030 MUNI TRGT TRM,NYSE,21.95,21.88,21.95
EMD,10.11,592350000.0,WESTERN ASSET EMRG MRKT DBT,NYSE,10.11,10.15,10.11
EFT,12.57,332410000.0,EATON VANCE FLTNG RT INC TR,NYSE,12.57,12.6,12.57
AIZN,20.305,9509727506.953087,ASSURANT INC - AIZ 5 1/4 01/15/61,NYSE,20.305,20.5,20.305
MYD,9.99,458710000.0,BLACKROCK MUNIYIELD FUND,NYSE,9.99,9.98,9.99
NGVT,47.56,1734269827.3330567,INGEVITY CORP,NYSE,47.56,47.48,47.56
REPX,27.77,611579663.0591844,RILEY EXPLORATION PERMIAN IN,AMEX,27.77,27.72,27.77
CLZNY,10.56,2931380138.0,CLARIANT AG-UNSPONSORED ADR,OTC,10.56,10.56,10.56
ARR.PRC,21.36,1384019129.0,ARMOUR RESIDENTIAL REIT - ARR 7 PERP,NYSE,21.36,21.38,21.36
ARLO,15.72,1625463107.219153,ARLO TECHNOLOGIES INC,NYSE,15.72,16.21,15.72
CNL,9.78,1161560305.0,COLLECTIVE MINING LTD,AMEX,9.78,10.07,9.78
LILA,6.16,1250780490.1052632,LIBERTY LATIN AMERIC-CL A,NASDAQ,6.16,6.2,6.16
HTBK,10.37,638745519.2234956,HERITAGE COMMERCE CORP,NASDAQ,10.37,10.41,10.37
EXETF,9.68,1110587196.0,EXTENDICARE INC,OTC,9.68,9.7,9.68
NWBI,13.4,1711882885.9571323,NORTHWEST BANCSHARES INC,NASDAQ,13.4,13.48,13.4
OM,19.39,343228432.7933042,OUTSET MEDICAL INC,NASDAQ,19.39,20.18,19.39
SPOK,17.38,357546504.1306532,SPOK HOLDINGS INC,NASDAQ,17.38,18.05,17.38
PCVX,35.93,4635118790.2544155,VAXCYTE INC,NASDAQ,35.93,35.62,35.93
EFC.PRC,24.85,1251353923.0,ELLINGTON FINANCIAL - EFC 8 5/8 PERP,NYSE,24.85,24.9,24.85
CELC,13.63,516118478.5939795,CELCUITY INC,NASDAQ,13.63,13.57,13.63
KODK,6.69,540411843.9845916,EASTMAN KODAK CO,NYSE,6.69,6.46,6.69
BFZ,10.77,325590000.0,BLACKROCK CA MUNI INC TR,NYSE,10.77,10.82,10.77
FFXDF,19.03,1865368658.9160001,FAIRFAX INDIA HO-SUB VTG SHS,OTC,19.03,18.798,19.03
PRM,16.22,2396160370.774233,PERIMETER SOLUTIONS INC,NYSE,16.22,16.29,16.22
GSRTU,11.75,316521625.0,GSR III ACQUISITION CORP,NASDAQ,11.75,11.75,11.75
PCRX,22.9,1060376931.1101727,PACIRA BIOSCIENCES INC,NASDAQ,22.9,23.68,22.9
CBL,26.21,805565096.0,CBL & ASSOCIATES PROPERTIES,NYSE,26.21,25.9,26.21
AAMI,39.3,1406754243.9427257,ACADIAN ASSET MANAGEMENT INC,NYSE,39.3,38.81,39.3
LSPD,11.48,2202310908.0,LIGHTSPEED COMMERCE INC,NYSE,11.48,11.57,11.48
ATAT,35.46,4978839658.0,ATOUR LIFESTYLE HOLDINGS-ADR,NASDAQ,35.46,35.795,35.46
SR.PRA,24.14,4393216122.0853,SPIRE INC - SR 5.9 PERP,NYSE,24.14,24.19,24.14
UMH,17.1,1436847317.0,UMH PROPERTIES INC,NYSE,17.1,16.97,17.1
USM,69.99,5950786814.227138,US CELLULAR CORP,NYSE,69.99,69.01,69.99
AMRK,24.145,594564271.7964046,A-MARK PRECIOUS METALS INC,NASDAQ,24.145,23.73,24.145
LTH,29.7,6516690021.7346945,LIFE TIME GROUP HOLDINGS INC,NYSE,29.7,29.16,29.7
IBOC,69.37,4310786318.165101,INTERNATIONAL BANCSHARES CRP,NASDAQ,69.37,69.74,69.37
CEVA,22.89,547445517.8922415,CEVA INC,NASDAQ,22.89,22.91,22.89
FWRG,17.5,1067381294.1259134,FIRST WATCH RESTAURANT GROUP,NASDAQ,17.5,17.67,17.5
CLSK,12.65,3553939568.155039,CLEANSPARK INC,NASDAQ,12.65,13.26,12.65
YB,28.59,1337529567.0,YUANBAO INC -ADR,NASDAQ,28.59,29.36,28.59
CMGMY,7.98,1509402996.0,CHEMRING GROUP PLC-UNSP ADR,OTC,7.98,8.17,7.98
CWK,11.7,2708112232.087912,CUSHMAN & WAKEFIELD PLC,NYSE,11.7,11.63,11.7
JSAIY,15.52,6422601995.0,J. SAINSBURY PLC-SPONS ADR,OTC,15.52,15.5552,15.52
COIHY,20.2,4271478688.0,CRODA INTERNATIONAL-UNS ADR,OTC,20.2,20.14,20.2
AGNC,9.4,9642547016.0,AGNC INVESTMENT CORP,NASDAQ,9.4,9.41,9.4
CHI,10.48,820770000.0,CALAMOS CONVERT OPPORT & INC,NASDAQ,10.48,10.51,10.48
SSRGF,10.92,2567169146.331368,SSR MINING INC-CDI,OTC,10.92,10.92,10.92
PPBI,22.36,2169471521.201927,PACIFIC PREMIER BANCORP INC,NASDAQ,22.36,22.58,22.36
ASB.PRF,20.305,4234777105.081499,ASSOC BANC-CORP - ASB 5 5/8 PERP,NYSE,20.305,20.1041,20.305
CANG,5.34,559388567.0,CANGO INC/KY - ADR,NYSE,5.34,5.59,5.34
SPHR,42.94,1545814854.9909322,SPHERE ENTERTAINMENT CO,NYSE,42.94,42.71,42.94
TACO,10.35,388319062.5,BERTO ACQUISITION CORP,NASDAQ,10.35,10.3,10.35
MUA,10.395,404020000.0,BLACKROCK MUNIASSETS FUND,NYSE,10.395,10.44,10.395
SZGPF,31.35,1679110216.0,SALZGITTER AG,OTC,31.35,31.44,31.35
AVNT,34.21,3131334463.241913,AVIENT CORP,NYSE,34.21,34.14,34.21
BIREF,5.06,1857174002.0,BIRCHCLIFF ENERGY LTD,OTC,5.06,5.0,5.06
EE,27.09,3088753242.49029,EXCELERATE ENERGY INC-A,NYSE,27.09,27.31,27.09
ELEAF,12.8,936734830.0,EL.EN. SPA,OTC,12.8,12.8,12.8
EH,17.69,1242039750.0,EHANG HOLDINGS LTD-SPS ADR,NASDAQ,17.69,17.21,17.69
QNTQY,27.17,2637765506.0,QINETIQ GROUP PLC-UNSP ADR,OTC,27.17,27.17,27.17
W,57.09,7325530740.19633,WAYFAIR INC- CLASS A,NYSE,57.09,57.93,57.09
MXL,14.94,1290424842.5591538,MAXLINEAR INC,NASDAQ,14.94,14.86,14.94
CLBK,14.815,1554501789.1272187,COLUMBIA FINANCIAL INC,NASDAQ,14.815,15.11,14.815
MDALF,28.48,4901238550.0,MDA SPACE LTD,OTC,28.48,29.0,28.48
HTH,30.71,1970204731.8226998,HILLTOP HOLDINGS INC,NYSE,30.71,30.97,30.71
CHAC,10.02,303672803.34,CRANE HARBOR ACQU CORP - A,NASDAQ,10.02,10.03,10.02
GBLBF,85.0,9141246907.0,GROUPE BRUXELLES LAMBERT NV,OTC,85.0,85.0,85.0
OXLCP,24.435,1876180000.0,OXFORD LANE CAPITAL CORP - OXLC 6 1/4 02/28/27,NASDAQ,24.435,24.3757,24.435
VALU,38.15,359127379.4877927,VALUE LINE INC,NASDAQ,38.15,38.6574,38.15
TWOD,25.81,1082901203.0,TWO HARBORS INV CORP - TWO 9 3/8 08/15/30,NYSE,25.81,25.867,25.81
LUNR,10.86,1939950661.5670838,INTUITIVE MACHINES INC,NASDAQ,10.86,11.55,10.86
BBSI,43.05,1105533162.8715744,BARRETT BUSINESS SVCS INC,NASDAQ,43.05,42.95,43.05
WTBA,20.22,342188685.8832047,WEST BANCORPORATION,NASDAQ,20.22,20.48,20.22
ARCT,13.78,373721905.11464083,ARCTURUS THERAPEUTICS HOLDIN,NASDAQ,13.78,14.16,13.78
RXLSF,31.0914,7882511050.0,REXEL SA,OTC,31.0914,31.0914,31.0914
EBS,7.36,399484811.8308322,EMERGENT BIOSOLUTIONS INC,NYSE,7.36,7.3,7.36
SIGCY,18.75,5818067122.0,SIG GROUP AG - UNSP ADR,OTC,18.75,18.73,18.75
HEHSF,6.7,422435997.0,HELLENIC EXCHANGES - ATHENS,OTC,6.7,6.7,6.7
TWODY,15.11,3985218482.0,TAYLOR WIMPEY PLC-UNSPON ADR,OTC,15.11,15.21,15.11
LIFX,21.77,4911996099.294959,LIFE360 INC-CDI,OTC,21.77,21.77,21.77
REYN,21.86,4597666709.437699,REYNOLDS CONSUMER PRODUCTS I,NASDAQ,21.86,21.91,21.86
APA,20.11,7256595293.209313,APA CORP,NASDAQ,20.11,20.32,20.11
BCAL,16.2,525089569.71951216,CALIFORNIA BANCORP,NASDAQ,16.2,16.33,16.2
